hh_id,ptc_id,wave,wealth_index
HH20181049,PT2018104900,1,2.0578137530772387
HH20181088,PT2018108800,1,0.5264177557046957
HH20181089,PT2018108900,1,-0.7848877931601989
HH20181091,PT2018109100,1,-1.9825784681039489
HH20180160,PT2018016000,1,-2.613957536568445
HH20180226,PT2018022600,1,3.264885700683346
HH20180286,PT2018028600,1,0.1569607761816535
HH20180312,PT2018031200,1,-2.343975093014761
HH20180313,PT2018031300,1,3.1963718162393735
HH20180315,PT2018031500,1,-2.0016403469985793
HH20180715,PT2018071500,1,-6.244330892805425
HH20180716,PT2018071600,1,6.21987584863371
HH20180717,PT2018071700,1,-3.2984544476075768
HH20180719,PT2018071900,1,0.273079932610308
HH20180777,PT2018077700,1,-0.6967906898934588
HH20180784,PT2018078400,1,1.6987586130532395
HH20180785,PT2018078500,1,-0.7068022468482105
HH20181020,PT2018102000,1,-2.2687164726728866
HH20181021,PT2018102100,1,-1.0682797528050463
HH20181022,PT2018102200,1,-3.757920804852958
HH20181023,PT2018102300,1,0.9795614633777759
HH20181051,PT2018105100,1,2.6856984558961168
HH20181056,PT2018105601,1,-3.018990293956845
HH20181057,PT2018105700,1,-3.752324878141138
HH20180308,PT2018030800,1,3.223091321409975
HH20180309,PT2018030900,1,7.491413324594997
HH20180310,PT2018031000,1,1.359950241909318
HH20180311,PT2018031100,1,1.5096870430381406
HH20180720,PT2018072000,1,5.657264398059899
HH20180721,PT2018072100,1,-0.9248862264331271
HH20180722,PT2018072200,1,-2.092815778837155
HH20180723,PT2018072300,1,-0.89075021162908
HH20180724,PT2018072400,1,2.719527676701912
HH20181024,PT2018102400,1,5.104898315614722
HH20181025,PT2018102500,1,2.5238143994945594
HH20181026,PT2018102600,1,11.061714357149855
HH20181052,PT2018105200,1,-2.1017715004963424
HH20181053,PT2018105300,1,-2.6571918727315404
HH20181054,PT2018105400,1,0.058553432101723785
HH20181055,PT2018105500,1,13.028782299251167
HH20181058,PT2018105800,1,14.063297877114243
HH20181100,PT2018110000,1,4.141172550267713
HH20181101,PT2018110100,1,0.5696748389954215
HH20181102,PT2018110200,1,3.3730718736360474
HH20181103,PT2018110300,1,-0.8556025469063768
HH20180302,PT2018030200,1,-1.1946852193580895
HH20180303,PT2018030300,1,1.3460172252724107
HH20180304,PT2018030400,1,-2.569288836396856
HH20180305,PT2018030500,1,-3.284335232424265
HH20180306,PT2018030600,1,-5.0342336399287495
HH20180307,PT2018030700,1,0.7589262962696359
HH20180725,PT2018072500,1,0.9220159568993744
HH20180726,PT2018072600,1,-1.1647464502989384
HH20180727,PT2018072700,1,0.7377008739022547
HH20180728,PT2018072800,1,-1.155534581880901
HH20180729,PT2018072900,1,-0.9851656864950923
HH20181027,PT2018102700,1,1.5524225795812896
