ptc_key,wave,hh_id,ptc_id,out_temp_24h,out_dew_24h,rh_24h,out_temp_season,out_dew_season,rh_season
PT20180728001,1,HH20180728,PT2018072800,-11.7619616668647,-23.0132289967107,38.7862027415505,-2.06350236209414,-18.5139315125946,27.1879914066128
PT20180728002,2,HH20180728,PT2018072800,-3.96709325226621,-12.0792297861749,53.2952527588838,-1.24173922231097,-13.118820231416,40.0463164786283
PT20180728004,4,HH20180728,PT2018072800,1.71228973949453,-12.1488170335641,34.9699691792217,-2.87919664209785,-16.3714438145958,34.5870762240929
PT20180729001,1,HH20180729,PT2018072900,-11.7546105550496,-23.0169088612363,38.7507572952845,-2.05616175995249,-18.5153094547403,27.1700924183722
PT20180729002,2,HH20180729,PT2018072900,-3.92189216736944,-12.0774768634667,53.1225252179777,-1.19820908900306,-13.1195230019178,39.9165513917333
PT20180729004,4,HH20180729,PT2018072900,1.72358941024061,-12.1491773624512,34.9407140044357,-2.86755444796039,-16.372931787087,34.5528982778357
PT20180729012,2,HH20180729,PT2018072901,-5.63110967524282,-15.7404861620933,44.8214724853837,-1.19820908900306,-13.1195230019178,39.9165513917333
PT20180730001,1,HH20180730,PT2018073000,-8.27089896067463,-19.2953661561559,40.6966968047829,-1.88051934681013,-18.5285360367739,26.790480289483
PT20180730004,4,HH20180730,PT2018073000,-0.618690710258374,-15.0027522359215,32.8052539592995,-2.70990436202235,-16.3922321860537,34.0960854281287
PT20180730011,1,HH20180730,PT2018073001,-8.27089896067463,-19.2953661561559,40.6966968047829,-1.88051934681013,-18.5285360367739,26.790480289483
PT20180730012,2,HH20180730,PT2018073001,-11.3045368273736,-26.0652851491674,28.4359407143434,-1.03941950352746,-13.1362674965443,39.4018247783686
PT20180731001,1,HH20180731,PT2018073100,-8.2663701138703,-19.2982783074041,40.6722391960251,-1.87449365090149,-18.529057244165,26.7774070182596
PT20180731002,2,HH20180731,PT2018073100,-11.3059654187061,-26.0692785574783,28.4288494501199,-1.03409328134883,-13.1368236631566,39.3847028152677
PT20180731004,4,HH20180731,PT2018073100,-0.621069682311954,-15.0075148785166,32.7980727945663,-2.70858628644486,-16.3948768012961,34.0852348957998
PT20180732001,1,HH20180732,PT2018073200,-8.29582986475641,-19.296154768785,40.7728839650152,-1.90589974013912,-18.5291176119951,26.839287343739
PT20180732002,2,HH20180732,PT2018073200,-11.3369736731054,-26.0657671633093,28.5083705885769,-1.07185154946654,-13.1369185649035,39.493332768119
PT20180732004,4,HH20180732,PT2018073200,-0.653904318574489,-15.003098571081,32.8886374538246,-2.74561046554395,-16.3929318841779,34.1845134841898
PT20180733001,1,HH20180733,PT2018073300,-2.32890550974142,-19.2048462429082,26.1404904963425,0.74042485888078,-17.5900243309002,23.9628169983834
PT20180733002,2,HH20180733,PT2018073300,-1.01158466850504,-9.02567406187809,54.5468001351114,1.93754336396182,-11.9646778042959,34.9242385599522
PT20180733004,4,HH20180733,PT2018073300,-0.268408011626196,-9.85737829493801,48.4044142789393,0.32113647560976,-15.0607317073171,30.4952940525422
PT20180734001,1,HH20180734,PT2018073400,-2.32420937167006,-19.2028867924991,26.1357948196388,0.74553385888078,-17.5900243309002,23.9539944523224
PT20180734002,2,HH20180734,PT2018073400,-1.00649607701076,-9.02342750212501,54.5360894704125,1.94292536396182,-11.9646778042959,34.9108253717535
PT20180734004,4,HH20180734,PT2018073400,-0.264427663239496,-9.85568684851668,48.396862146769,0.32645997560976,-15.0607317073171,30.4835547738965
PT20180735001,1,HH20180735,PT2018073500,0.673190160222997,-22.3159824703402,16.0311848772073,-1.60295222452161,-18.7789737209722,25.6955928844073
