"ptc_key","wave","hh_id","ptc_id","outdoor_temp_idw","outdoor_dew_idw","RH"
"PT20180119001",1,"HH20180119","PT2018011900",-0.228955368756219,-16.2418191931923,28.7777035804154
"PT20180119002",2,"HH20180119","PT2018011900",-4.17897316502227,-9.4939328234351,66.4898384212026
"PT20180119004",4,"HH20180119","PT2018011900",-5.25577240821878,-17.5496416226495,37.4499432571506
"PT20180120001",1,"HH20180120","PT2018012000",0.954733970406992,-12.2091956145062,36.7440475396167
"PT20180120002",2,"HH20180120","PT2018012000",-1.96494940069985,-16.120011458204,33.0089100990685
"PT20180121001",1,"HH20180121","PT2018012100",-8.26396097580767,-19.2980093602364,40.6655608590133
"PT20180121002",2,"HH20180121","PT2018012100",-11.3022856938042,-26.0668145028051,28.4268790806866
"PT20180121004",4,"HH20180121","PT2018012100",-0.615924515913058,-15.003487620252,32.7966534890814
"PT20180123001",1,"HH20180123","PT2018012300",-0.13232139286401,-16.2436112793149,28.5721778888632
"PT20180123002",2,"HH20180123","PT2018012300",-4.07631858514713,-9.5027592412805,65.9338568253832
"PT20180124001",1,"HH20180124","PT2018012400",0.165230480677311,-11.7192308269453,40.4583811102712
"PT20180124002",2,"HH20180124","PT2018012400",0.726180142857142,-13.1986352164155,34.4858822912784
"PT20180124004",4,"HH20180124","PT2018012400",-3.91018387752997,-17.7413770458241,33.2970929042241
"PT20180124012",2,"HH20180124","PT2018012401",-0.572661700357472,-4.21256285131593,76.3950682343256
"PT20180125001",1,"HH20180125","PT2018012500",0.149642058227419,-11.719259136235,40.503992322209
"PT20180125002",2,"HH20180125","PT2018012500",1.84131986934366,-11.5730001010842,36.2855770135243
"PT20180125004",4,"HH20180125","PT2018012500",-3.96543182561425,-17.7497919464376,33.4114785986882
"PT20180126001",1,"HH20180126","PT2018012600",-0.348736053104425,-16.24061676083,29.0322735486218
"PT20180126004",4,"HH20180126","PT2018012600",-5.29237461898159,-17.5485593769255,37.5573758092238
"PT20180127001",1,"HH20180127","PT2018012700",0.826909077377592,-14.9145357246982,29.7583031871764
"PT20180127012",2,"HH20180127","PT2018012701",-0.761951795699153,-18.5805928761172,24.572175005084
"PT20180128001",1,"HH20180128","PT2018012800",-3.3405551507185,-10.7049441760267,56.7536435344592
"PT20180128012",2,"HH20180128","PT2018012801",-7.36456272714053,-12.9446957746987,64.3529384070808
"PT20180128014",4,"HH20180128","PT2018012801",-6.12378033228841,-17.6266749218788,39.7462120501293
"PT20180130001",1,"HH20180130","PT2018013000",0.942059152138898,-12.2076054093889,36.7822765642652
"PT20180130002",2,"HH20180130","PT2018013000",-3.29084954435828,-14.7623810846479,40.7441281491838
"PT20180130044",4,"HH20180130","PT2018013004",-4.09809962596277,-17.0177139125643,35.8890472028519
"PT20180131001",1,"HH20180131","PT2018013100",0.975871235112644,-12.2084681246967,36.6903573591564
"PT20180131004",4,"HH20180131","PT2018013100",-5.02775838392292,-15.4210513569769,43.9651064922024
"PT20180133001",1,"HH20180133","PT2018013300",-0.0456474277246968,-16.2439749432988,28.3921599624132
"PT20180133002",2,"HH20180133","PT2018013300",-3.9751428001114,-9.50242020590711,65.4372911279176
