hh_id,wave,heatable_room,heatable_share,no_heat_room,no_heat_share,heat_dur_master,room_number_heatuse,heat_regular,use_share,regular_share,total_room,Treat_V,T_ATW,T_ATA,T_Storage,Treat_hh,T_Timing,year
HH20180167,1,7,100,0,0,27,4,4,57.14285714285714,57.14285714285714,7,0,0,0,0,0,0,2018
HH20180167,2,7,100,0,0,4,2,2,28.57142857142857,28.57142857142857,7,0,0,0,0,0,0,2019
HH20180167,4,9,69.23076923076923,4,30.76923076923077,6,2,2,15.384615384615385,15.384615384615385,13,0,0,0,0,0,0,2021
HH20180168,1,2,100,0,0,20,1,1,50,50,2,0,0,0,0,0,0,2018
HH20180169,1,2,100,0,0,40,2,2,100,100,2,0,0,0,0,0,2020,2018
HH20180169,2,2,100,0,0,23,2,2,100,100,2,0,0,0,0,0,2020,2019
HH20180169,4,2,100,0,0,40,2,2,100,100,2,1,1,0,0,1,2020,2021
HH20180170,1,9,100,0,0,180,9,9,100,100,9,0,0,0,0,0,2020,2018
HH20180170,2,9,90,1,10,180,9,9,90,90,10,0,0,0,0,0,2020,2019
HH20180170,4,8,88.88888888888889,1,11.11111111111111,160,8,8,88.88888888888889,88.88888888888889,9,1,1,0,0,1,2020,2021
HH20180171,1,3,50,3,50,41,3,3,50,50,6,0,0,0,0,0,0,2018
HH20180171,2,6,100,0,0,20,1,1,16.666666666666664,16.666666666666664,6,0,0,0,0,0,0,2019
HH20180171,4,5,83.33333333333334,1,16.666666666666664,14,1,1,16.666666666666664,16.666666666666664,6,0,0,0,0,0,0,2021
HH20180173,1,5,62.5,3,37.5,60,3,3,37.5,37.5,8,0,0,0,0,0,0,2018
HH20180173,2,8,100,0,0,60,3,3,37.5,37.5,8,0,0,0,0,0,0,2019
HH20180174,1,9,100,0,0,180,9,9,100,100,9,0,0,0,0,0,0,2018
HH20180174,2,9,100,0,0,180,7,9,77.77777777777779,100,9,0,0,0,0,0,0,2019
HH20180174,4,10,100,0,0,200,10,10,100,100,10,0,0,0,0,0,0,2021
HH20180175,1,3,100,0,0,60,3,3,100,100,3,0,0,0,0,0,2020,2018
HH20180175,2,5,100,0,0,40,2,2,40,40,5,0,0,0,0,0,2020,2019
HH20180175,4,7,100,0,0,140,7,7,100,100,7,1,1,0,0,1,2020,2021
HH20180176,2,5,100,0,0,100,5,5,100,100,5,0,0,0,0,0,2020,2019
HH20180176,4,5,100,0,0,100,5,5,100,100,5,1,0,0,0,0,2020,2021
HH20180177,1,6,100,0,0,60,6,3,100,50,6,0,0,0,0,0,0,2018
HH20180177,2,8,100,0,0,20,1,1,12.5,12.5,8,0,0,0,0,0,0,2019
HH20180177,4,6,66.66666666666666,3,33.33333333333333,23,2,2,22.22222222222222,22.22222222222222,9,0,0,0,0,0,0,2021
HH20180178,1,8,50,8,50,46,2,4,12.5,25,16,0,0,0,0,0,2020,2018
HH20180178,2,7,100,0,0,20,1,1,14.285714285714285,14.285714285714285,7,0,0,0,0,0,2020,2019
HH20180179,1,6,85.71428571428571,1,14.285714285714285,120,6,6,85.71428571428571,85.71428571428571,7,0,0,0,0,0,2020,2018
HH20180179,2,7,87.5,1,12.5,100,6,5,75,62.5,8,0,0,0,0,0,2020,2019
HH20180179,4,6,75,2,25,120,6,6,75,75,8,1,1,1,0,1,2020,2021
HH20180180,1,1,50,1,50,1,1,1,50,50,2,0,0,0,0,0,0,2018
HH20180180,2,2,100,0,0,40,2,2,100,100,2,0,0,0,0,0,0,2019
HH20180180,4,2,100,0,0,20,1,1,50,50,2,0,0,0,0,0,0,2021
HH20180181,1,5,100,0,0,70,5,5,100,100,5,0,0,0,0,0,2019,2018
HH20180181,2,8,80,2,20,160,8,8,80,80,10,1,1,0,0,1,2019,2019
HH20180181,4,5,55.55555555555556,4,44.44444444444444,100,5,5,55.55555555555556,55.55555555555556,9,1,1,0,0,1,2019,2021
HH20180182,1,3,50,3,50,60,3,3,50,50,6,0,0,0,0,0,0,2018
HH20180182,4,5,62.5,3,37.5,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,2021
HH20180183,1,4,57.14285714285714,3,42.857142857142854,80,4,4,57.14285714285714,57.14285714285714,7,0,0,0,0,0,0,2018
HH20180183,2,6,85.71428571428571,1,14.285714285714285,81,5,5,71.42857142857143,71.42857142857143,7,0,0,0,0,0,0,2019
HH20180183,4,4,44.44444444444444,5,55.55555555555556,80,4,4,44.44444444444444,44.44444444444444,9,0,0,0,0,0,0,2021
HH20180184,1,2,66.66666666666666,1,33.33333333333333,40,2,2,66.66666666666666,66.66666666666666,3,0,0,0,0,0,0,2018
HH20180184,2,2,66.66666666666666,1,33.33333333333333,2,2,2,66.66666666666666,66.66666666666666,3,0,0,0,0,0,0,2019
HH20180184,4,2,66.66666666666666,1,33.33333333333333,21,2,2,66.66666666666666,66.66666666666666,3,0,0,0,0,0,0,2021
HH20180185,1,1,20,4,80,20,1,1,20,20,5,0,0,0,0,0,0,2018
HH20180185,2,5,71.42857142857143,2,28.57142857142857,3,1,1,14.285714285714285,14.285714285714285,7,0,0,0,0,0,0,2019
HH20180186,1,5,83.33333333333334,1,16.666666666666664,21,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,2020,2018
HH20180187,1,6,100,0,0,60,1,3,16.666666666666664,50,6,0,0,0,0,0,0,2018
HH20180187,2,10,100,0,0,120,6,6,60,60,10,0,0,0,0,0,0,2019
HH20180189,1,4,50,4,50,80,4,4,50,50,8,0,0,0,0,0,2020,2018
HH20180189,2,5,71.42857142857143,2,28.57142857142857,100,4,5,57.14285714285714,71.42857142857143,7,0,0,0,0,0,2020,2019
HH20180189,4,9,100,0,0,100,5,5,55.55555555555556,55.55555555555556,9,1,1,0,0,1,2020,2021
HH20180190,1,2,66.66666666666666,1,33.33333333333333,2,2,2,66.66666666666666,66.66666666666666,3,0,0,0,0,0,0,2018
HH20180190,2,3,16.666666666666664,15,83.33333333333334,6,2,2,11.11111111111111,11.11111111111111,18,0,0,0,0,0,0,2019
HH20180190,4,3,50,3,50,27,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,0,2021
HH20180192,1,2,100,0,0,40,2,2,100,100,2,0,0,0,0,0,0,2018
HH20180192,2,3,75,1,25,60,3,3,75,75,4,0,0,0,0,0,0,2019
HH20180192,4,3,75,1,25,60,3,3,75,75,4,0,0,0,0,0,0,2021
HH20180193,1,6,85.71428571428571,1,14.285714285714285,82,5,6,71.42857142857143,85.71428571428571,7,0,0,0,0,0,0,2018
HH20180193,2,NA,NA,NA,NA,32,NA,3,NA,42.857142857142854,7,0,0,0,0,0,0,2019
HH20180193,4,5,62.5,3,37.5,80,4,4,50,50,8,0,0,0,0,0,0,2021
HH20180194,1,4,80,1,20,80,4,4,80,80,5,0,0,0,0,0,0,2018
HH20180194,2,5,100,0,0,80,4,4,80,80,5,0,0,0,0,0,0,2019
HH20180194,4,4,66.66666666666666,2,33.33333333333333,9,3,3,50,50,6,0,0,0,0,0,0,2021
HH20180196,1,4,80,1,20,65,3,4,60,80,5,0,0,0,0,0,0,2018
HH20180196,2,4,100,0,0,80,2,4,50,100,4,0,0,0,0,0,0,2019
HH20180196,4,6,100,0,0,120,6,6,100,100,6,0,0,0,0,0,0,2021
HH20180197,1,3,75,1,25,15,3,3,75,75,4,0,0,0,0,0,2020,2018
HH20180198,1,3,60,2,40,21,2,2,40,40,5,0,0,0,0,0,0,2018
HH20180198,2,2,40,3,60,21,2,2,40,40,5,0,0,0,0,0,0,2019
HH20180198,4,3,50,3,50,8,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,0,2021
HH20180199,1,1,25,3,75,20,1,1,25,25,4,0,0,0,0,0,2020,2018
HH20180199,2,4,100,0,0,20,1,1,25,25,4,0,0,0,0,0,2020,2019
HH20180199,4,12,100,0,0,240,12,12,100,100,12,1,1,0,0,1,2020,2021
HH20180200,1,5,83.33333333333334,1,16.666666666666664,100,5,5,83.33333333333334,83.33333333333334,6,0,0,0,0,0,0,2018
HH20180200,2,6,85.71428571428571,1,14.285714285714285,101,6,6,85.71428571428571,85.71428571428571,7,0,0,0,0,0,0,2019
HH20180200,4,4,80,1,20,80,4,4,80,80,5,0,0,0,0,0,0,2021
HH20180202,1,7,100,0,0,60,3,3,42.857142857142854,42.857142857142854,7,0,0,0,0,0,0,2018
HH20180202,2,6,85.71428571428571,1,14.285714285714285,42,3,3,42.857142857142854,42.857142857142854,7,0,0,0,0,0,0,2019
HH20180202,4,7,77.77777777777779,2,22.22222222222222,100,5,5,55.55555555555556,55.55555555555556,9,0,0,0,0,0,0,2021
HH20180204,1,3,100,0,0,25,2,2,66.66666666666666,66.66666666666666,3,0,0,0,0,0,0,2018
HH20180204,2,5,83.33333333333334,1,16.666666666666664,6,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,0,2019
HH20180204,4,4,66.66666666666666,2,33.33333333333333,27,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,0,2021
HH20180207,1,5,71.42857142857143,2,28.57142857142857,20,2,1,28.57142857142857,14.285714285714285,7,0,0,0,0,0,2020,2018
HH20180207,2,5,83.33333333333334,1,16.666666666666664,20,1,1,16.666666666666664,16.666666666666664,6,0,0,0,0,0,2020,2019
HH20180207,4,6,100,0,0,120,6,6,100,100,6,1,1,0,0,1,2020,2021
HH20180208,1,6,85.71428571428571,1,14.285714285714285,100,6,5,85.71428571428571,71.42857142857143,7,0,0,0,0,0,0,2018
HH20180209,1,1,33.33333333333333,2,66.66666666666666,20,1,1,33.33333333333333,33.33333333333333,3,0,0,0,0,0,2020,2018
HH20180209,2,5,100,0,0,11,2,1,40,20,5,0,0,0,1,1,2020,2019
HH20180210,1,8,100,0,0,160,8,8,100,100,8,0,0,0,0,0,0,2018
HH20180210,2,8,100,0,0,60,3,3,37.5,37.5,8,0,0,0,0,0,0,2019
HH20180210,4,7,58.333333333333336,5,41.66666666666667,60,3,3,25,25,12,0,0,0,0,0,0,2021
HH20180212,1,5,50,5,50,100,5,5,50,50,10,0,0,0,0,0,2020,2018
HH20180212,2,11,100,0,0,62,5,5,45.45454545454545,45.45454545454545,11,0,0,0,0,0,2020,2019
HH20180212,4,6,46.15384615384615,7,53.84615384615385,120,6,6,46.15384615384615,46.15384615384615,13,1,1,0,0,1,2020,2021
HH20180213,1,5,62.5,3,37.5,47,3,3,37.5,37.5,8,0,0,0,0,0,0,2018
HH20180213,2,8,88.88888888888889,1,11.11111111111111,40,2,2,22.22222222222222,22.22222222222222,9,0,0,0,0,0,0,2019
HH20180213,4,8,80,2,20,21,2,2,20,20,10,0,0,0,0,0,0,2021
HH20180214,1,1,33.33333333333333,2,66.66666666666666,20,1,1,33.33333333333333,33.33333333333333,3,0,0,0,0,0,0,2018
HH20180214,2,1,20,4,80,20,1,1,20,20,5,0,0,0,0,0,0,2019
HH20180214,4,3,60,2,40,23,2,2,40,40,5,0,0,0,0,0,0,2021
HH20180215,1,8,100,0,0,160,8,8,100,100,8,0,0,0,0,0,0,2018
HH20180215,2,8,100,0,0,20,1,1,12.5,12.5,8,0,0,0,0,0,0,2019
HH20180215,4,12,100,0,0,20,1,1,8.333333333333332,8.333333333333332,12,0,0,0,0,0,0,2021
HH20180216,1,3,42.857142857142854,4,57.14285714285714,47,3,3,42.857142857142854,42.857142857142854,7,0,0,0,0,0,0,2018
HH20180216,2,6,100,0,0,81,5,5,83.33333333333334,83.33333333333334,6,0,0,0,0,0,0,2019
HH20180216,4,7,100,0,0,83,5,5,71.42857142857143,71.42857142857143,7,0,0,0,0,0,0,2021
HH20180217,1,3,30,7,70,24,3,3,30,30,10,0,0,0,0,0,2020,2018
HH20180217,2,5,50,5,50,27,3,2,30,20,10,0,0,0,0,0,2020,2019
HH20180217,4,10,100,0,0,200,10,10,100,100,10,1,1,0,0,1,2020,2021
HH20180218,4,6,75,2,25,60,3,3,37.5,37.5,8,1,1,0,0,1,2020,2021
HH20180219,1,3,33.33333333333333,6,66.66666666666666,60,3,3,33.33333333333333,33.33333333333333,9,0,0,0,0,0,2020,2018
HH20180219,2,7,87.5,1,12.5,60,3,3,37.5,37.5,8,0,0,0,0,0,2020,2019
HH20180219,4,3,30,7,70,60,3,3,30,30,10,1,1,0,0,1,2020,2021
